              x              y            psi
              0              0              0
           0.25              0              0
            0.5              0              0
           0.75              0              0
              1              0              0

              0           0.25              0
           0.25           0.25    -2.8522e-05
            0.5           0.25    -3.9246e-05
           0.75           0.25    -2.8553e-05
              1           0.25              0

              0            0.5              0
           0.25            0.5     -7.488e-05
            0.5            0.5    -9.9936e-05
           0.75            0.5       -7.5e-05
              1            0.5              0

              0           0.75              0
           0.25           0.75    -0.00017098
            0.5           0.75    -0.00021049
           0.75           0.75    -0.00017143
              1           0.75              0

              0              1              0
           0.25              1              0
            0.5              1              0
           0.75              1              0
              1              1              0

