              x              y            psi
           0.65          0.025    -0.00016489
         0.6625          0.025      -0.000155
          0.675          0.025    -0.00014468
         0.6875          0.025      -0.000134
            0.7          0.025    -0.00012307
         0.7125          0.025    -0.00011199
          0.725          0.025    -0.00010085
         0.7375          0.025     -8.978e-05
           0.75          0.025    -7.8875e-05
         0.7625          0.025    -6.8246e-05
          0.775          0.025    -5.7998e-05
         0.7875          0.025    -4.8233e-05
            0.8          0.025    -3.9049e-05
         0.8125          0.025    -3.0536e-05
          0.825          0.025    -2.2776e-05
         0.8375          0.025    -1.5841e-05
           0.85          0.025    -9.7927e-06
         0.8625          0.025    -4.6789e-06
          0.875          0.025    -5.3233e-07
         0.8875          0.025      2.632e-06
            0.9          0.025     4.8196e-06
         0.9125          0.025      6.061e-06
          0.925          0.025     6.4174e-06
         0.9375          0.025     5.9892e-06
           0.95          0.025     4.9274e-06
         0.9625          0.025     3.4501e-06
          0.975          0.025     1.8601e-06
         0.9875          0.025     5.5595e-07
              1          0.025              0

              0         0.0375              0
         0.0125         0.0375     9.1125e-07
          0.025         0.0375     2.0343e-06
         0.0375         0.0375     2.3141e-06
           0.05         0.0375     1.1021e-06
         0.0625         0.0375    -1.9594e-06
          0.075         0.0375     -7.028e-06
         0.0875         0.0375    -1.4127e-05
            0.1         0.0375    -2.3193e-05
         0.1125         0.0375    -3.4108e-05
          0.125         0.0375    -4.6721e-05
         0.1375         0.0375    -6.0864e-05
           0.15         0.0375    -7.6362e-05
         0.1625         0.0375    -9.3039e-05
          0.175         0.0375    -0.00011072
         0.1875         0.0375    -0.00012925
            0.2         0.0375    -0.00014846
         0.2125         0.0375     -0.0001682
          0.225         0.0375    -0.00018834
         0.2375         0.0375    -0.00020874
           0.25         0.0375    -0.00022928
         0.2625         0.0375    -0.00024983
          0.275         0.0375    -0.00027028
         0.2875         0.0375    -0.00029051
            0.3         0.0375    -0.00031042
         0.3125         0.0375     -0.0003299
          0.325         0.0375    -0.00034884
         0.3375         0.0375    -0.00036714
           0.35         0.0375    -0.00038468
         0.3625         0.0375    -0.00040138
          0.375         0.0375    -0.00041711
         0.3875         0.0375    -0.00043178
            0.4         0.0375    -0.00044527
         0.4125         0.0375     -0.0004575
          0.425         0.0375    -0.00046836
         0.4375         0.0375    -0.00047776
           0.45         0.0375    -0.00048559
         0.4625         0.0375    -0.00049179
          0.475         0.0375    -0.00049627
         0.4875         0.0375    -0.00049897
            0.5         0.0375    -0.00049982
         0.5125         0.0375    -0.00049879
          0.525         0.0375    -0.00049583
         0.5375         0.0375    -0.00049093
           0.55         0.0375     -0.0004841
         0.5625         0.0375    -0.00047533
          0.575         0.0375    -0.00046468
         0.5875         0.0375    -0.00045218
            0.6         0.0375    -0.00043792
         0.6125         0.0375    -0.00042197
          0.625         0.0375    -0.00040445
         0.6375         0.0375     -0.0003855
           0.65         0.0375    -0.00036525
         0.6625         0.0375    -0.00034386
          0.675         0.0375    -0.00032153
         0.6875         0.0375    -0.00029844
            0.7         0.0375     -0.0002748
