              x              y              w
          0.425        0.00625        0.68357
        0.43125        0.00625        0.69086
         0.4375        0.00625         0.6976
        0.44375        0.00625        0.70377
           0.45        0.00625        0.70934
        0.45625        0.00625        0.71431
         0.4625        0.00625        0.71865
        0.46875        0.00625        0.72236
          0.475        0.00625        0.72542
        0.48125        0.00625        0.72782
         0.4875        0.00625        0.72954
        0.49375        0.00625        0.73058
            0.5        0.00625        0.73092
        0.50625        0.00625        0.73056
         0.5125        0.00625        0.72949
        0.51875        0.00625         0.7277
          0.525        0.00625        0.72519
        0.53125        0.00625        0.72196
         0.5375        0.00625          0.718
        0.54375        0.00625        0.71332
           0.55        0.00625        0.70791
        0.55625        0.00625        0.70179
         0.5625        0.00625        0.69495
        0.56875        0.00625         0.6874
          0.575        0.00625        0.67915
        0.58125        0.00625        0.67021
         0.5875        0.00625        0.66059
        0.59375        0.00625        0.65031
            0.6        0.00625        0.63939
        0.60625        0.00625        0.62783
         0.6125        0.00625        0.61566
        0.61875        0.00625        0.60291
          0.625        0.00625        0.58959
        0.63125        0.00625        0.57573
         0.6375        0.00625        0.56136
        0.64375        0.00625         0.5465
           0.65        0.00625        0.53118
        0.65625        0.00625        0.51545
         0.6625        0.00625        0.49932
        0.66875        0.00625        0.48284
          0.675        0.00625        0.46605
        0.68125        0.00625        0.44897
         0.6875        0.00625        0.43164
        0.69375        0.00625        0.41412
            0.7        0.00625        0.39643
        0.70625        0.00625        0.37862
         0.7125        0.00625        0.36073
        0.71875        0.00625        0.34281
          0.725        0.00625        0.32489
        0.73125        0.00625        0.30702
         0.7375        0.00625        0.28924
        0.74375        0.00625        0.27161
           0.75        0.00625        0.25415
        0.75625        0.00625        0.23692
         0.7625        0.00625        0.21995
        0.76875        0.00625        0.20329
          0.775        0.00625        0.18699
        0.78125        0.00625        0.17107
         0.7875        0.00625        0.15558
        0.79375        0.00625        0.14057
            0.8        0.00625        0.12606
        0.80625        0.00625        0.11209
         0.8125        0.00625       0.098696
        0.81875        0.00625       0.085911
          0.825        0.00625       0.073762
        0.83125        0.00625        0.06228
         0.8375        0.00625       0.051489
        0.84375        0.00625       0.041412
           0.85        0.00625        0.03207
        0.85625        0.00625        0.02348
         0.8625        0.00625       0.015658
        0.86875        0.00625      0.0086142
          0.875        0.00625      0.0023565
        0.88125        0.00625     -0.0031111
         0.8875        0.00625      -0.007789
        0.89375        0.00625      -0.011682
            0.9        0.00625        -0.0148
        0.90625        0.00625      -0.017159
         0.9125        0.00625      -0.018781
        0.91875        0.00625      -0.019695
          0.925        0.00625      -0.019937
        0.93125        0.00625      -0.019556
         0.9375        0.00625      -0.018607
        0.94375        0.00625      -0.017161
           0.95        0.00625      -0.015303
        0.95625        0.00625      -0.013135
         0.9625        0.00625      -0.010778
        0.96875        0.00625     -0.0083725
          0.975        0.00625     -0.0060776
        0.98125        0.00625     -0.0040558
         0.9875        0.00625     -0.0024334
        0.99375        0.00625     -0.0011975
              1        0.00625     3.8307e-05

              0         0.0125     -0.0022281
        0.00625         0.0125      -0.002152
         0.0125         0.0125     -0.0018779
        0.01875         0.0125     -0.0016042
          0.025         0.0125     -0.0013092
        0.03125         0.0125    -0.00088109
         0.0375         0.0125    -0.00018827
        0.04375         0.0125     0.00088932
           0.05         0.0125        0.00245
        0.05625         0.0125      0.0045689
         0.0625         0.0125      0.0073003
        0.06875         0.0125        0.01068
          0.075         0.0125       0.014731
        0.08125         0.0125       0.019461
         0.0875         0.0125       0.024871
        0.09375         0.0125       0.030953
            0.1         0.0125       0.037694
        0.10625         0.0125       0.045074
         0.1125         0.0125       0.053073
        0.11875         0.0125       0.061665
          0.125         0.0125       0.070824
        0.13125         0.0125       0.080522
         0.1375         0.0125       0.090728
        0.14375         0.0125        0.10141
           0.15         0.0125        0.11255
        0.15625         0.0125         0.1241
         0.1625         0.0125        0.13604
        0.16875         0.0125        0.14835
          0.175         0.0125        0.16098
        0.18125         0.0125        0.17391
         0.1875         0.0125        0.18712
        0.19375         0.0125        0.20057
            0.2         0.0125        0.21424
        0.20625         0.0125        0.22811
         0.2125         0.0125        0.24214
        0.21875         0.0125        0.25631
          0.225         0.0125         0.2706
        0.23125         0.0125        0.28499
         0.2375         0.0125        0.29945
        0.24375         0.0125        0.31396
           0.25         0.0125         0.3285
        0.25625         0.0125        0.34304
         0.2625         0.0125        0.35757
        0.26875         0.0125        0.37206
          0.275         0.0125        0.38649
        0.28125         0.0125        0.40085
         0.2875         0.0125        0.41512
        0.29375         0.0125        0.42927
            0.3         0.0125        0.44328
        0.30625         0.0125        0.45714
         0.3125         0.0125        0.47083
        0.31875         0.0125        0.48432
          0.325         0.0125         0.4976
        0.33125         0.0125        0.51066
         0.3375         0.0125        0.52346
        0.34375         0.0125          0.536
           0.35         0.0125        0.54825
        0.35625         0.0125        0.56019
         0.3625         0.0125        0.57181
        0.36875         0.0125        0.58309
          0.375         0.0125          0.594
        0.38125         0.0125        0.60454
         0.3875         0.0125        0.61467
        0.39375         0.0125        0.62439
            0.4         0.0125        0.63368
        0.40625         0.0125        0.64251
         0.4125         0.0125        0.65088
        0.41875         0.0125        0.65876
          0.425         0.0125        0.66613
        0.43125         0.0125        0.67298
         0.4375         0.0125         0.6793
        0.44375         0.0125        0.68507
           0.45         0.0125        0.69026
        0.45625         0.0125        0.69488
         0.4625         0.0125         0.6989
        0.46875         0.0125        0.70232
          0.475         0.0125        0.70511
        0.48125         0.0125        0.70727
         0.4875         0.0125        0.70879
        0.49375         0.0125        0.70966
            0.5         0.0125        0.70987
        0.50625         0.0125        0.70942
         0.5125         0.0125        0.70829
        0.51875         0.0125        0.70648
          0.525         0.0125          0.704
        0.53125         0.0125        0.70083
         0.5375         0.0125        0.69698
        0.54375         0.0125        0.69244
           0.55         0.0125        0.68723
        0.55625         0.0125        0.68134
         0.5625         0.0125        0.67477
        0.56875         0.0125        0.66755
          0.575         0.0125        0.65967
        0.58125         0.0125        0.65114
         0.5875         0.0125        0.64198
        0.59375         0.0125         0.6322
            0.6         0.0125        0.62181
        0.60625         0.0125        0.61084
         0.6125         0.0125         0.5993
        0.61875         0.0125        0.58721
          0.625         0.0125         0.5746
        0.63125         0.0125        0.56148
         0.6375         0.0125        0.54788
        0.64375         0.0125        0.53383
           0.65         0.0125        0.51936
        0.65625         0.0125         0.5045
         0.6625         0.0125        0.48927
        0.66875         0.0125        0.47371
          0.675         0.0125        0.45786
        0.68125         0.0125        0.44174
         0.6875         0.0125         0.4254
        0.69375         0.0125        0.40886
            0.7         0.0125        0.39218
        0.70625         0.0125        0.37537
         0.7125         0.0125         0.3585
        0.71875         0.0125        0.34158
          0.725         0.0125        0.32467
        0.73125         0.0125         0.3078
         0.7375         0.0125        0.29101
        0.74375         0.0125        0.27434
           0.75         0.0125        0.25784
        0.75625         0.0125        0.24154
         0.7625         0.0125        0.22548
        0.76875         0.0125         0.2097
          0.775         0.0125        0.19424
        0.78125         0.0125        0.17913
         0.7875         0.0125        0.16441
        0.79375         0.0125        0.15011
            0.8         0.0125        0.13628
        0.80625         0.0125        0.12294
         0.8125         0.0125        0.11012
        0.81875         0.0125       0.097849
          0.825         0.0125       0.086158
        0.83125         0.0125        0.07507
         0.8375         0.0125       0.064608
        0.84375         0.0125       0.054793
           0.85         0.0125       0.045642
        0.85625         0.0125       0.037171
         0.8625         0.0125       0.029391
        0.86875         0.0125       0.022312
          0.875         0.0125       0.015939
        0.88125         0.0125       0.010275
         0.8875         0.0125      0.0053157
        0.89375         0.0125      0.0010557
            0.9         0.0125     -0.0025169
        0.90625         0.0125     -0.0054191
         0.9125         0.0125     -0.0076738
        0.91875         0.0125     -0.0093104
          0.925         0.0125      -0.010366
        0.93125         0.0125      -0.010885
         0.9375         0.0125      -0.010922
        0.94375         0.0125      -0.010541
           0.95         0.0125     -0.0098166
        0.95625         0.0125     -0.0088351
         0.9625         0.0125     -0.0076922
        0.96875         0.0125       -0.00649
          0.975         0.0125     -0.0053275
        0.98125         0.0125       -0.00428
         0.9875         0.0125     -0.0033583
        0.99375         0.0125     -0.0024334
              1         0.0125     -0.0011199

              0        0.01875     -0.0047405
        0.00625        0.01875     -0.0031959
         0.0125        0.01875     -0.0016052
        0.01875        0.01875      -3.92e-05
          0.025        0.01875      0.0015225
        0.03125        0.01875      0.0031565
         0.0375        0.01875      0.0049614
        0.04375        0.01875      0.0070354
           0.05        0.01875      0.0094661
        0.05625        0.01875       0.012326
         0.0625        0.01875        0.01567
        0.06875        0.01875       0.019542
          0.075        0.01875       0.023969
        0.08125        0.01875       0.028969
         0.0875        0.01875       0.034551
        0.09375        0.01875       0.040716
