              x              y              w
              0              0              0
        0.00625              0      0.0053409
         0.0125              0      0.0029318
        0.01875              0      -0.012406
          0.025              0       -0.04077
        0.03125              0      -0.080415
         0.0375              0       -0.12896
        0.04375              0       -0.18382
           0.05              0       -0.24245
        0.05625              0       -0.30241
         0.0625              0       -0.36153
        0.06875              0       -0.41793
          0.075              0        -0.4701
        0.08125              0       -0.51695
         0.0875              0        -0.5578
        0.09375              0       -0.59238
            0.1              0       -0.62076
        0.10625              0       -0.64335
         0.1125              0       -0.66078
        0.11875              0       -0.67389
          0.125              0       -0.68359
        0.13125              0       -0.69083
         0.1375              0       -0.69652
        0.14375              0       -0.70149
           0.15              0       -0.70641
        0.15625              0       -0.71178
         0.1625              0        -0.7179
        0.16875              0       -0.72486
          0.175              0       -0.73254
        0.18125              0       -0.74065
         0.1875              0       -0.74873
        0.19375              0       -0.75618
            0.2              0       -0.76235
        0.20625              0       -0.76652
         0.2125              0       -0.76793
        0.21875              0       -0.76587
          0.225              0       -0.75958
        0.23125              0       -0.74835
         0.2375              0       -0.73145
        0.24375              0       -0.70814
           0.25              0       -0.67768
        0.25625              0       -0.63926
         0.2625              0       -0.59205
        0.26875              0       -0.53518
          0.275              0       -0.46773
        0.28125              0       -0.38876
         0.2875              0       -0.29732
        0.29375              0       -0.19244
            0.3              0      -0.073181
        0.30625              0       0.061363
         0.3125              0        0.21205
        0.31875              0        0.37966
          0.325              0        0.56488
        0.33125              0        0.76829
         0.3375              0         0.9903
        0.34375              0         1.2312
           0.35              0         1.4911
        0.35625              0         1.7699
         0.3625              0         2.0672
        0.36875              0         2.3826
          0.375              0         2.7153
        0.38125              0         3.0642
         0.3875              0         3.4281
        0.39375              0         3.8055
            0.4              0         4.1946
        0.40625              0         4.5935
         0.4125              0              5
        0.41875              0         5.4115
          0.425              0         5.8256
        0.43125              0         6.2393
         0.4375              0         6.6497
        0.44375              0         7.0537
           0.45              0          7.448
        0.45625              0         7.8293
         0.4625              0          8.194
        0.46875              0         8.5388
          0.475              0           8.86
        0.48125              0         9.1541
         0.4875              0         9.4177
        0.49375              0         9.6472
            0.5              0         9.8394
        0.50625              0         9.9908
         0.5125              0         10.099
        0.51875              0          10.16
          0.525              0         10.172
        0.53125              0         10.132
         0.5375              0         10.039
        0.54375              0         9.8909
