              x              y              w
          0.425        0.00625        0.68923
        0.43125        0.00625        0.69658
         0.4375        0.00625        0.70337
        0.44375        0.00625        0.70958
           0.45        0.00625        0.71519
        0.45625        0.00625        0.72019
         0.4625        0.00625        0.72456
        0.46875        0.00625        0.72829
          0.475        0.00625        0.73136
        0.48125        0.00625        0.73376
         0.4875        0.00625        0.73548
        0.49375        0.00625        0.73651
            0.5        0.00625        0.73684
        0.50625        0.00625        0.73646
         0.5125        0.00625        0.73535
        0.51875        0.00625        0.73353
          0.525        0.00625        0.73098
        0.53125        0.00625        0.72769
         0.5375        0.00625        0.72368
        0.54375        0.00625        0.71893
           0.55        0.00625        0.71345
        0.55625        0.00625        0.70725
         0.5625        0.00625        0.70032
        0.56875        0.00625        0.69268
          0.575        0.00625        0.68433
        0.58125        0.00625        0.67529
         0.5875        0.00625        0.66556
        0.59375        0.00625        0.65516
            0.6        0.00625        0.64412
        0.60625        0.00625        0.63243
         0.6125        0.00625        0.62013
        0.61875        0.00625        0.60724
          0.625        0.00625        0.59378
        0.63125        0.00625        0.57978
         0.6375        0.00625        0.56526
        0.64375        0.00625        0.55025
           0.65        0.00625        0.53478
        0.65625        0.00625        0.51889
         0.6625        0.00625         0.5026
        0.66875        0.00625        0.48596
          0.675        0.00625          0.469
        0.68125        0.00625        0.45176
         0.6875        0.00625        0.43428
        0.69375        0.00625        0.41659
            0.7        0.00625        0.39874
        0.70625        0.00625        0.38077
         0.7125        0.00625        0.36272
        0.71875        0.00625        0.34464
          0.725        0.00625        0.32656
        0.73125        0.00625        0.30854
         0.7375        0.00625        0.29062
        0.74375        0.00625        0.27283
           0.75        0.00625        0.25523
        0.75625        0.00625        0.23786
         0.7625        0.00625        0.22076
        0.76875        0.00625        0.20398
          0.775        0.00625        0.18755
        0.78125        0.00625        0.17152
         0.7875        0.00625        0.15592
        0.79375        0.00625         0.1408
            0.8        0.00625        0.12619
        0.80625        0.00625        0.11213
         0.8125        0.00625       0.098655
        0.81875        0.00625       0.085792
          0.825        0.00625       0.073574
        0.83125        0.00625       0.062028
         0.8375        0.00625       0.051182
        0.84375        0.00625       0.041057
           0.85        0.00625       0.031674
        0.85625        0.00625       0.023051
         0.8625        0.00625       0.015203
        0.86875        0.00625      0.0081405
          0.875        0.00625      0.0018712
        0.88125        0.00625     -0.0036012
         0.8875        0.00625     -0.0082773
        0.89375        0.00625      -0.012162
            0.9        0.00625      -0.015266
        0.90625        0.00625      -0.017606
         0.9125        0.00625      -0.019203
        0.91875        0.00625      -0.020087
          0.925        0.00625      -0.020297
        0.93125        0.00625      -0.019879
         0.9375        0.00625      -0.018892
        0.94375        0.00625      -0.017406
           0.95        0.00625      -0.015508
        0.95625        0.00625        -0.0133
         0.9625        0.00625      -0.010906
        0.96875        0.00625     -0.0084659
          0.975        0.00625     -0.0061415
        0.98125        0.00625     -0.0040958
         0.9875        0.00625     -0.0024556
        0.99375        0.00625     -0.0012066
              1        0.00625     4.2447e-05

              0         0.0125      -0.002248
        0.00625         0.0125     -0.0021806
         0.0125         0.0125     -0.0019114
        0.01875         0.0125     -0.0016425
          0.025         0.0125     -0.0013533
        0.03125         0.0125    -0.00093094
         0.0375         0.0125    -0.00024292
        0.04375         0.0125     0.00083214
           0.05         0.0125      0.0023937
        0.05625         0.0125       0.004518
         0.0625         0.0125      0.0072598
        0.06875         0.0125       0.010656
          0.075         0.0125       0.014729
        0.08125         0.0125       0.019488
         0.0875         0.0125       0.024933
        0.09375         0.0125       0.031057
            0.1         0.0125       0.037846
        0.10625         0.0125       0.045282
         0.1125         0.0125       0.053342
        0.11875         0.0125       0.062001
          0.125         0.0125       0.071233
        0.13125         0.0125       0.081009
         0.1375         0.0125         0.0913
        0.14375         0.0125        0.10207
           0.15         0.0125         0.1133
        0.15625         0.0125        0.12496
         0.1625         0.0125          0.137
        0.16875         0.0125        0.14941
          0.175         0.0125        0.16215
        0.18125         0.0125         0.1752
         0.1875         0.0125        0.18852
        0.19375         0.0125        0.20209
            0.2         0.0125        0.21588
        0.20625         0.0125        0.22987
         0.2125         0.0125        0.24403
        0.21875         0.0125        0.25833
          0.225         0.0125        0.27275
        0.23125         0.0125        0.28726
         0.2375         0.0125        0.30185
        0.24375         0.0125        0.31649
           0.25         0.0125        0.33116
        0.25625         0.0125        0.34583
         0.2625         0.0125        0.36049
        0.26875         0.0125        0.37511
          0.275         0.0125        0.38968
        0.28125         0.0125        0.40417
         0.2875         0.0125        0.41856
        0.29375         0.0125        0.43283
            0.3         0.0125        0.44697
        0.30625         0.0125        0.46096
         0.3125         0.0125        0.47477
        0.31875         0.0125        0.48838
          0.325         0.0125        0.50179
        0.33125         0.0125        0.51496
         0.3375         0.0125        0.52787
        0.34375         0.0125        0.54052
           0.35         0.0125        0.55288
        0.35625         0.0125        0.56493
         0.3625         0.0125        0.57665
        0.36875         0.0125        0.58802
          0.375         0.0125        0.59903
        0.38125         0.0125        0.60966
         0.3875         0.0125        0.61988
        0.39375         0.0125        0.62968
            0.4         0.0125        0.63905
        0.40625         0.0125        0.64796
         0.4125         0.0125        0.65639
        0.41875         0.0125        0.66433
          0.425         0.0125        0.67176
        0.43125         0.0125        0.67866
         0.4375         0.0125        0.68503
        0.44375         0.0125        0.69083
           0.45         0.0125        0.69606
        0.45625         0.0125        0.70071
         0.4625         0.0125        0.70475
        0.46875         0.0125        0.70818
          0.475         0.0125        0.71098
        0.48125         0.0125        0.71315
         0.4875         0.0125        0.71466
        0.49375         0.0125        0.71552
            0.5         0.0125        0.71572
        0.50625         0.0125        0.71524
         0.5125         0.0125        0.71408
        0.51875         0.0125        0.71224
          0.525         0.0125        0.70971
        0.53125         0.0125        0.70649
         0.5375         0.0125        0.70258
        0.54375         0.0125        0.69798
           0.55         0.0125        0.69269
        0.55625         0.0125        0.68672
         0.5625         0.0125        0.68008
        0.56875         0.0125        0.67276
          0.575         0.0125        0.66479
        0.58125         0.0125        0.65616
         0.5875         0.0125        0.64689
        0.59375         0.0125          0.637
            0.6         0.0125         0.6265
        0.60625         0.0125        0.61541
         0.6125         0.0125        0.60374
        0.61875         0.0125        0.59152
          0.625         0.0125        0.57877
        0.63125         0.0125        0.56551
         0.6375         0.0125        0.55178
        0.64375         0.0125        0.53758
           0.65         0.0125        0.52297
        0.65625         0.0125        0.50795
         0.6625         0.0125        0.49257
        0.66875         0.0125        0.47687
          0.675         0.0125        0.46086
        0.68125         0.0125        0.44459
         0.6875         0.0125        0.42809
        0.69375         0.0125         0.4114
            0.7         0.0125        0.39456
        0.70625         0.0125        0.37761
         0.7125         0.0125        0.36058
        0.71875         0.0125        0.34351
          0.725         0.0125        0.32645
        0.73125         0.0125        0.30944
         0.7375         0.0125        0.29251
        0.74375         0.0125         0.2757
           0.75         0.0125        0.25906
        0.75625         0.0125        0.24263
         0.7625         0.0125        0.22644
        0.76875         0.0125        0.21054
          0.775         0.0125        0.19496
        0.78125         0.0125        0.17974
         0.7875         0.0125        0.16491
        0.79375         0.0125        0.15052
            0.8         0.0125        0.13659
        0.80625         0.0125        0.12315
         0.8125         0.0125        0.11025
        0.81875         0.0125       0.097905
          0.825         0.0125       0.086143
        0.83125         0.0125       0.074992
         0.8375         0.0125       0.064473
        0.84375         0.0125       0.054607
           0.85         0.0125       0.045413
        0.85625         0.0125       0.036904
         0.8625         0.0125       0.029094
        0.86875         0.0125       0.021991
          0.875         0.0125       0.015601
        0.88125         0.0125       0.009925
         0.8875         0.0125      0.0049605
        0.89375         0.0125     0.00070055
            0.9         0.0125     -0.0028667
        0.90625         0.0125     -0.0057586
         0.9125         0.0125     -0.0079985
        0.91875         0.0125     -0.0096165
          0.925         0.0125       -0.01065
        0.93125         0.0125      -0.011144
         0.9375         0.0125      -0.011154
        0.94375         0.0125      -0.010745
           0.95         0.0125     -0.0099924
        0.95625         0.0125     -0.0089828
         0.9625         0.0125     -0.0078132
        0.96875         0.0125     -0.0065864
          0.975         0.0125     -0.0054021
        0.98125         0.0125     -0.0043357
         0.9875         0.0125     -0.0033973
        0.99375         0.0125     -0.0024556
              1         0.0125     -0.0011206

              0        0.01875     -0.0047901
        0.00625        0.01875     -0.0032415
         0.0125        0.01875     -0.0016436
        0.01875        0.01875    -6.9563e-05
          0.025        0.01875      0.0015001
        0.03125        0.01875      0.0031421
         0.0375        0.01875      0.0049558
        0.04375        0.01875      0.0070403
           0.05        0.01875      0.0094839
        0.05625        0.01875        0.01236
         0.0625        0.01875       0.015725
        0.06875        0.01875       0.019621
          0.075        0.01875       0.024078
        0.08125        0.01875       0.029113
         0.0875        0.01875       0.034736
        0.09375        0.01875       0.040947
            0.1        0.01875       0.047741
        0.10625        0.01875       0.055107
         0.1125        0.01875        0.06303
        0.11875        0.01875       0.071493
          0.125        0.01875       0.080474
        0.13125        0.01875       0.089951
         0.1375        0.01875         0.0999
        0.14375        0.01875         0.1103
           0.15        0.01875        0.12111
        0.15625        0.01875        0.13232
         0.1625        0.01875         0.1439
        0.16875        0.01875        0.15582
          0.175        0.01875        0.16805
        0.18125        0.01875        0.18058
         0.1875        0.01875        0.19336
        0.19375        0.01875        0.20638
            0.2        0.01875        0.21961
        0.20625        0.01875        0.23302
         0.2125        0.01875         0.2466
        0.21875        0.01875        0.26031
          0.225        0.01875        0.27414
        0.23125        0.01875        0.28806
         0.2375        0.01875        0.30205
        0.24375        0.01875        0.31609
           0.25        0.01875        0.33015
        0.25625        0.01875        0.34421
         0.2625        0.01875        0.35826
        0.26875        0.01875        0.37228
          0.275        0.01875        0.38623
        0.28125        0.01875        0.40011
         0.2875        0.01875        0.41389
        0.29375        0.01875        0.42756
            0.3        0.01875        0.44109
        0.30625        0.01875        0.45446
         0.3125        0.01875        0.46766
        0.31875        0.01875        0.48067
          0.325        0.01875        0.49347
        0.33125        0.01875        0.50604
         0.3375        0.01875        0.51836
        0.34375        0.01875        0.53042
           0.35        0.01875        0.54219
        0.35625        0.01875        0.55366
         0.3625        0.01875        0.56481
        0.36875        0.01875        0.57562
          0.375        0.01875        0.58607
        0.38125        0.01875        0.59615
         0.3875        0.01875        0.60583
        0.39375        0.01875        0.61511
            0.4        0.01875        0.62396
        0.40625        0.01875        0.63237
         0.4125        0.01875        0.64032
        0.41875        0.01875        0.64779
          0.425        0.01875        0.65477
        0.43125        0.01875        0.66125
         0.4375        0.01875         0.6672
        0.44375        0.01875        0.67262
           0.45        0.01875        0.67749
        0.45625        0.01875         0.6818
         0.4625        0.01875        0.68553
        0.46875        0.01875        0.68868
          0.475        0.01875        0.69123
        0.48125        0.01875        0.69317
         0.4875        0.01875         0.6945
        0.49375        0.01875         0.6952
            0.5        0.01875        0.69527
        0.50625        0.01875         0.6947
         0.5125        0.01875        0.69349
        0.51875        0.01875        0.69164
          0.525        0.01875        0.68914
        0.53125        0.01875        0.68599
         0.5375        0.01875        0.68219
        0.54375        0.01875        0.67774
           0.55        0.01875        0.67265
        0.55625        0.01875        0.66691
         0.5625        0.01875        0.66055
        0.56875        0.01875        0.65355
          0.575        0.01875        0.64594
        0.58125        0.01875        0.63772
         0.5875        0.01875         0.6289
        0.59375        0.01875         0.6195
            0.6        0.01875        0.60953
        0.60625        0.01875        0.59901
         0.6125        0.01875        0.58796
        0.61875        0.01875        0.57639
          0.625        0.01875        0.56433
        0.63125        0.01875        0.55179
         0.6375        0.01875        0.53881
        0.64375        0.01875        0.52541
           0.65        0.01875        0.51161
        0.65625        0.01875        0.49744
         0.6625        0.01875        0.48294
        0.66875        0.01875        0.46813
          0.675        0.01875        0.45303
        0.68125        0.01875         0.4377
         0.6875        0.01875        0.42215
        0.69375        0.01875        0.40642
            0.7        0.01875        0.39055
        0.70625        0.01875        0.37457
         0.7125        0.01875        0.35852
        0.71875        0.01875        0.34243
          0.725        0.01875        0.32634
        0.73125        0.01875        0.31029
         0.7375        0.01875        0.29431
        0.74375        0.01875        0.27844
           0.75        0.01875        0.26272
        0.75625        0.01875        0.24718
         0.7625        0.01875        0.23186
        0.76875        0.01875         0.2168
          0.775        0.01875        0.20203
        0.78125        0.01875        0.18758
         0.7875        0.01875        0.17348
        0.79375        0.01875        0.15978
            0.8        0.01875        0.14649
